Organic Waste,Paper,Cardboard,Plastic (PET),Plastic (Other),Metals (Aluminum),Metals (Iron and Steel),Glass,Textiles,E-waste,Rubber,Other
34.763287,17.909433,7.147497,9.978682,4.010584,2.82565,5.418314,7.240547,4.6136785,2.3041975,2.4866962,4.389948
32.530685,16.852669,6.7123184,9.2084465,3.7821949,2.6398187,5.0283594,6.8297415,4.3454,2.1783094,2.334269,4.1130505
34.64403,17.852985,7.1242523,9.93754,3.9983842,2.815724,5.3974843,7.2186036,4.5993485,2.2974732,2.4785542,4.3751574
35.34505,18.1848,7.260895,10.179387,4.0700965,2.874073,5.5199265,7.347593,4.6835856,2.337001,2.526415,4.462101
32.625683,17.027328,6.796788,9.256846,3.701803,2.6633172,5.0182858,6.859311,4.343554,2.1684408,2.376502,4.0623007
34.72975,17.89356,7.140961,9.9671135,4.0071535,2.8228588,5.4124565,7.2343764,4.609649,2.3023067,2.484407,4.385789
35.245964,18.1379,7.241581,10.145203,4.0599604,2.8658257,5.5026197,7.329361,4.671679,2.331414,2.5196502,4.4498115
34.099953,17.595455,7.0182,9.749835,3.9427264,2.770437,5.302453,7.118491,4.5339694,2.2667944,2.4414082,4.3076777
35.83324,19.207344,8.267203,9.686219,3.8383005,2.8383832,5.7721567,7.6926885,4.7317553,2.456061,2.522459,4.5140862
33.83543,17.470247,6.9666395,9.658577,3.9156666,2.7484195,5.256251,7.0698185,4.5021834,2.2518792,2.4233484,4.274871
34.207317,17.646275,7.0391273,9.786875,3.9537096,2.7793736,5.321206,7.1382465,4.5468707,2.2728486,2.448738,4.320994
32.647835,16.90812,6.7351522,9.248862,3.7941787,2.6495695,5.0488205,6.8512964,4.3594766,2.1849148,2.342267,4.1275797
34.14057,17.614681,7.026118,9.763849,3.9468818,2.773818,5.3095484,7.1259656,4.538851,2.269085,2.4441814,4.312716
33.983932,17.540539,6.9955854,9.709808,3.930858,2.76078,5.2821884,7.097143,4.520028,2.2602525,2.433487,4.2932887
34.94732,17.996542,7.183369,10.0421715,4.0294094,2.8409681,5.4504576,7.2744093,4.6357927,2.3145745,2.499261,4.412772
34.348053,17.71289,7.0665603,9.835429,3.9681065,2.7910879,5.345788,7.1641426,4.5637827,2.2807841,2.4583468,4.3384485
35.292606,18.159977,7.250673,10.161295,4.0647316,2.869708,5.510767,7.337943,4.6772842,2.334044,2.5228348,4.4555964
34.23226,17.658081,7.04399,9.795481,3.9562612,2.7814498,5.325563,7.1428366,4.5498686,2.274255,2.4504414,4.3240876
31.028526,16.141647,6.419517,8.69021,3.6285284,2.514786,4.7659864,6.5533395,4.164894,2.0936081,2.2317114,3.926746
32.342587,16.763636,6.6756535,9.143555,3.7629528,2.6241622,4.9955053,6.7951307,4.322797,2.1677032,2.3214269,4.0897217
33.902607,17.502045,6.9797335,9.681753,3.9225388,2.7540112,5.2679844,7.082179,4.510256,2.255667,2.4279346,4.283202
34.02045,17.557825,7.0027037,9.722408,3.9345937,2.7638197,5.2885675,7.103863,4.5244164,2.262312,2.4359803,4.297818
34.83287,17.94237,7.161061,10.002687,4.017702,2.8314419,5.4304676,7.2533503,4.62204,2.3081212,2.491447,4.3985777
34.2756,17.678595,7.0524373,9.810432,3.9606948,2.785057,5.3331327,7.1508107,4.555076,2.2766986,2.4534001,4.3294625
34.235603,17.659664,7.0446415,9.796635,3.9566035,2.7817283,5.326147,7.1434517,4.55027,2.2744436,2.4506698,4.3245025
32.910755,17.032568,6.7864013,9.339569,3.821075,2.671454,5.0947437,6.8996754,4.3910704,2.19974,2.3602176,4.160188
35.671463,18.339302,7.3245196,10.291998,4.103488,2.9012423,5.5769396,7.4076543,4.722809,2.3554063,2.5487006,4.5025845
36.013744,18.501316,7.391237,10.410082,4.138502,2.9297323,5.636723,7.4706345,4.763939,2.3747063,2.5720692,4.5450354
34.84948,17.950232,7.164298,10.008418,4.019401,2.8328242,5.4333687,7.256407,4.624036,2.3090577,2.492581,4.4006376
35.13983,18.087662,7.2208934,10.108587,4.049103,2.8569918,5.484082,7.3098316,4.6589255,2.3254294,2.512404,4.4366484
33.614075,17.36547,6.9234924,9.58221,3.8930223,2.7299948,5.2175875,7.029088,4.475584,2.2393975,2.4082355,4.247417
33.645824,17.3805,6.9296813,9.593164,3.8962705,2.7326376,5.2231336,7.03493,4.4793997,2.241188,2.4104033,4.251355
34.747887,17.914988,7.1296697,9.946499,4.0718055,2.8611636,5.413417,7.2436647,4.6019907,2.3588614,2.5128932,4.464528
34.476448,17.773663,7.0915866,9.8797245,3.9812407,2.8017747,5.368213,7.1877675,4.5792108,2.2880237,2.4671125,4.354373
34.90898,17.978395,7.1758966,10.028946,4.025488,2.8377771,5.443762,7.2673554,4.631186,2.312413,2.4966435,4.408018
34.27826,17.679853,7.0529556,9.81135,3.9609666,2.7852783,5.333597,7.1513004,4.5553956,2.2768486,2.4535818,4.3297925
32.990795,17.070454,6.802003,9.367182,3.8292627,2.6781158,5.1087236,6.914403,4.400688,2.2042532,2.3656821,4.1701155
33.25742,17.196655,6.8539734,9.459167,3.8565378,2.7003086,5.1552935,6.963463,4.4327273,2.2192872,2.3838854,4.203183
33.42092,17.274046,6.885843,9.5155735,3.8732634,2.7139177,5.1838512,6.9935474,4.452374,2.2285063,2.3950481,4.223461
35.134174,18.084986,7.219791,10.106636,4.0485244,2.856521,5.483094,7.308791,4.658246,2.3251104,2.512018,4.435947
34.164654,17.62608,7.030812,9.772158,3.949345,2.7758226,5.313754,7.1303964,4.541744,2.270443,2.4458256,4.3157024
32.722725,16.94357,6.749751,9.2747,3.80184,2.6558032,5.061902,6.8650775,4.368476,2.189138,2.3473802,4.1368685
33.197147,17.168127,6.842225,9.438373,3.850372,2.6952918,5.144766,6.9523726,4.4254847,2.2158887,2.3797705,4.1957083
34.346306,17.71206,7.0662193,9.8348255,3.9679275,2.7909422,5.345482,7.1638207,4.563572,2.2806854,2.4582274,4.3382316
34.471127,17.771145,7.0905495,9.877889,3.9806967,2.801332,5.367284,7.1867886,4.5785713,2.2877238,2.4667497,4.353713
36.39695,18.6827,7.465932,10.542287,4.177703,2.9616284,5.7036552,7.5411463,4.8099866,2.396314,2.598232,4.592562
34.039333,17.566761,7.006384,9.728922,3.9365253,2.7653913,5.2918653,7.107337,4.526685,2.2633765,2.4372694,4.3001595
34.570923,17.81838,7.1100016,9.912317,3.9909053,2.8096385,5.384714,7.2051506,4.590563,2.2933507,2.4735627,4.36609
33.226387,17.181967,6.847924,9.44846,3.853363,2.6977255,5.149873,6.957752,4.428998,2.2175374,2.3817668,4.1993346
34.998405,18.87706,7.7841268,9.698671,3.7111464,2.856878,5.1095104,7.1508737,4.631772,2.3154776,2.6795897,3.9549193
33.396286,17.262386,6.881041,9.507074,3.8707433,2.711867,5.1795483,6.989014,4.449414,2.2271173,2.3933663,4.220406
34.303654,17.691874,7.057905,9.82011,3.9635644,2.7873921,5.3380322,7.1559725,4.558447,2.2782805,2.4553156,4.332942
33.275703,17.20531,6.8575377,9.465475,3.8584085,2.7018306,5.1584873,6.9668274,4.4349246,2.2203183,2.385134,4.205451
34.09832,17.59468,7.017882,9.749271,3.9425592,2.7703013,5.302168,7.118191,4.5337734,2.2667027,2.4412966,4.3074756
33.64779,17.38143,6.9300637,9.593841,3.896471,2.732801,5.2234764,7.0352917,4.4796352,2.2412987,2.4105372,4.2515984
33.702793,17.407467,6.940786,9.612818,3.9020982,2.7373796,5.233084,7.045413,4.486245,2.2444003,2.4142928,4.258421
33.29153,17.212803,6.8606224,9.470935,3.8600273,2.703148,5.1612515,6.9697394,4.436826,2.2212107,2.3862145,4.207414
33.34949,17.240238,6.87192,9.490931,3.8659565,2.7079723,5.1713753,6.9804044,4.443791,2.224479,2.3901715,4.2146025
34.418125,17.746056,7.0802183,9.859603,3.9752746,2.7969203,5.3580265,7.1770363,4.5722027,2.2847352,2.463131,4.3471394
34.26167,17.672,7.0497217,9.805626,3.9592695,2.7838974,5.330699,7.1482477,4.553402,2.2759132,2.4524488,4.327735
34.270317,17.676094,7.051408,9.808611,3.9601543,2.7846174,5.3322096,7.149839,4.5544415,2.2764008,2.4530396,4.3288074
36.280426,18.627544,7.443219,10.502087,4.165783,2.9519296,5.683303,7.5197053,4.7959843,2.3897436,2.5902767,4.5781107
36.486416,18.725046,7.4833703,10.573152,4.186855,2.9690752,5.719282,7.5576077,4.820737,2.4013586,2.60434,4.603658
37.81171,19.352352,7.741697,11.030371,4.3224287,3.0793865,5.9507627,7.801466,4.97999,2.476087,2.6948223,4.7680273
39.833996,17.83719,7.9776897,10.522302,4.162376,3.660677,5.0614796,7.6008787,5.3632708,2.381518,2.3695288,4.8949814
33.51941,17.320663,6.90504,9.549551,3.8833385,2.7221153,5.201053,7.011669,4.4642086,2.2340598,2.4017725,4.2356763
33.063385,17.104813,6.8161526,9.392225,3.8366885,2.684158,5.1214027,6.92776,4.4094114,2.2083464,2.3706381,4.179118
34.472805,17.771938,7.0908766,9.878468,3.9808683,2.8014717,5.367577,7.1870975,4.578773,2.2878184,2.466864,4.353921
33.195526,17.16736,6.8419094,9.437814,3.8502064,2.695157,5.144483,6.952074,4.42529,2.2157974,2.3796601,4.195507
32.765842,16.963978,6.758155,9.289576,3.806251,2.659392,5.069433,6.873011,4.373657,2.191569,2.350324,4.1422157
33.91331,17.50711,6.98182,9.685446,3.9236336,2.754902,5.2698536,7.0841484,4.511542,2.2562706,2.4286656,4.28453
31.924515,16.56575,6.5941634,8.999322,3.7201853,2.589364,4.9224834,6.7182045,4.27256,2.1441298,2.2928836,4.0378704
34.528725,17.798409,7.101777,9.89776,3.986589,2.806126,5.3773446,7.1973867,4.585493,2.2909715,2.4706821,4.3608565
33.464294,17.294577,6.8942976,9.530537,3.8777003,2.7175279,5.1914268,7.001528,4.4575863,2.230952,2.3980095,4.228841
36.80306,18.874924,7.54509,10.682392,4.2192464,2.995431,5.7745876,7.615871,4.858786,2.4192128,2.6259584,4.6429296
33.321976,17.227215,6.866557,9.481439,3.8631418,2.7056823,5.166569,6.975342,4.440485,2.2229273,2.3882933,4.21119
34.987957,18.015776,7.19129,10.056192,4.0335665,2.8443503,5.4575553,7.2818866,4.6406755,2.316866,2.5020351,4.4178123
34.912796,18.002865,7.1504784,9.982849,4.136687,2.9030223,5.4405327,7.2785587,4.614286,2.4106174,2.5449843,4.5434613
33.741524,17.4258,6.9483356,9.626181,3.9060605,2.7406034,5.239849,7.05254,4.4908996,2.2465842,2.416937,4.2632246
34.631523,17.847063,7.121814,9.933224,3.9971044,2.8146825,5.395299,7.2163014,4.597845,2.2967677,2.4777002,4.3736057
36.012054,18.500515,7.3909073,10.409498,4.1383286,2.9295912,5.636428,7.4703236,4.763736,2.374611,2.5719538,4.5448256
34.69587,17.877522,7.1343565,9.955423,4.003687,2.8200386,5.4065385,7.228142,4.6055775,2.3003962,2.4820933,4.3815866
34.42534,17.74947,7.0816245,9.862091,3.9760127,2.7975206,5.3592863,7.1783633,4.5730696,2.285142,2.4636235,4.348034
34.553352,17.810066,7.1065774,9.906257,3.989108,2.808176,5.381646,7.2019186,4.5884523,2.2923603,2.4723635,4.363911
34.747887,17.914988,7.1296697,9.946499,4.0718055,2.8611636,5.413417,7.2436647,4.6019907,2.3588614,2.5128932,4.464528
34.866768,17.958414,7.1676683,10.014383,4.0211697,2.8342633,5.4363885,7.2595882,4.6261134,2.3100326,2.4937613,4.4027824
34.88163,17.96545,7.1705656,10.01951,4.02269,2.8355005,5.4389844,7.2623224,4.627899,2.3108706,2.494776,4.404626
34.252087,17.667465,7.0478544,9.8023205,3.9582891,2.7831001,5.3290253,7.1464844,4.5522504,2.275373,2.4517949,4.3265467
35.31427,18.17023,7.254895,10.168768,4.066948,2.8715112,5.51455,7.3419294,4.679887,2.3352656,2.5243137,4.4582834
35.538708,18.276466,7.298643,10.246199,4.089907,2.8901925,5.553752,7.3832264,4.7068567,2.347921,2.5396369,4.4861193
33.97349,17.535597,6.9935503,9.706207,3.92979,2.759911,5.280365,7.0952225,4.5187736,2.259664,2.4327743,4.291994
35.44404,18.231655,7.2801895,10.213537,4.0802226,2.8823123,5.537216,7.3658066,4.6954803,2.3425827,2.5331733,4.4743776
34.750256,17.903263,7.144957,9.974186,4.0092506,2.8245652,5.4160376,7.2381487,4.6121125,2.3034627,2.4858065,4.3883314
34.09102,17.591227,7.016459,9.746754,3.9418125,2.7696936,5.300893,7.1168475,4.532896,2.266291,2.4407983,4.30657
36.23014,18.603745,7.4334173,10.484739,4.160639,2.9477441,5.6745205,7.5104527,4.7899423,2.3869083,2.5868435,4.5718737
35.92312,18.45842,7.3735723,10.3788185,4.1292315,2.9221892,5.6208944,7.4539595,4.753049,2.3695965,2.565882,4.5337954
33.095142,17.119844,6.822342,9.403181,3.8399372,2.6868014,5.1269493,6.9336033,4.413227,2.210137,2.3728063,4.183057
36.16555,18.57317,7.420827,10.462454,4.154031,2.9423676,5.6632376,7.498567,4.7821803,2.383266,2.5824335,4.563863
33.87432,17.488655,6.97422,9.671993,3.9196448,2.7516565,5.2630434,7.076974,4.5068564,2.254072,2.4260035,4.279694
33.651882,17.383368,6.930862,9.595253,3.8968902,2.733142,5.2241917,7.036045,4.4801273,2.2415295,2.4108167,4.252106
34.670387,17.86546,7.1293893,9.946632,4.0010805,2.8179173,5.402087,7.2234526,4.602515,2.2989593,2.4803536,4.3784256
35.692394,17.99111,7.086586,10.325863,3.994383,3.1796756,5.34347,7.0631065,4.5035043,2.026567,2.5040424,4.0309534
34.436897,17.75494,7.083877,9.866078,3.9771948,2.7984824,5.3613048,7.1804895,4.574458,2.2857935,2.4644122,4.3494673
35.08619,18.062273,7.210438,10.090082,4.043616,2.852527,5.4747133,7.299962,4.65248,2.3224049,2.5087419,4.4299955
33.688793,17.400839,6.938057,9.607987,3.9006658,2.7362142,5.2306385,7.042836,4.484563,2.2436109,2.4133368,4.2566843
34.17668,17.631773,7.033156,9.776306,3.9505754,2.7768235,5.315855,7.1326094,4.5431895,2.271121,2.4466467,4.317194
34.981182,18.01257,7.1899695,10.053854,4.0328736,2.8437865,5.4563723,7.28064,4.639862,2.316484,2.5015726,4.416972
31.737688,16.477318,6.557747,8.934868,3.7010734,2.5738132,4.8898516,6.6838274,4.2501097,2.133595,2.2801282,4.014699
34.4126,17.743443,7.0791416,9.8576975,3.9747095,2.7964606,5.357062,7.1760197,4.571539,2.2844238,2.4627538,4.3464546
33.90811,17.50465,6.9808064,9.683651,3.9231014,2.754469,5.2689457,7.083192,4.5109167,2.2559772,2.4283104,4.283885
34.200584,17.64309,7.037816,9.784554,3.953021,2.7788134,5.32003,7.137008,4.546062,2.272469,2.448279,4.320159
33.886005,17.494186,6.9764977,9.676025,3.9208403,2.7526293,5.2650843,7.0791245,4.5082607,2.254731,2.4268012,4.281143
32.069687,16.634462,6.62246,9.049404,3.735036,2.601447,4.9478393,6.744916,4.290004,2.1523151,2.302795,4.055875
34.191853,17.638954,7.0361133,9.78154,3.9521275,2.7780864,5.318505,7.135401,4.5450125,2.2719765,2.4476824,4.3190756
33.050606,17.098764,6.813661,9.387817,3.8353813,2.6830945,5.1191707,6.9254084,4.4078755,2.2076259,2.3697658,4.177533
34.362835,17.719885,7.069441,9.8405285,3.9696183,2.792318,5.348369,7.1668625,4.5655584,2.2816176,2.4593558,4.3402815
33.98136,17.539322,6.9950843,9.708922,3.930595,2.7605662,5.2817397,7.09667,4.519719,2.2601078,2.4333115,4.2929697
30.745167,16.007524,6.3642845,8.592454,3.5995417,2.4912004,4.7164946,6.5012007,4.1308446,2.0776305,2.2123656,3.8916025
33.34018,17.23583,6.8701053,9.487719,3.865004,2.7071972,5.169749,6.978691,4.4426723,2.2239537,2.389536,4.2134476
35.16024,18.097324,7.2248716,10.115629,4.051191,2.8586907,5.487647,7.3135877,4.6613784,2.3265805,2.5137978,4.43918
32.31388,16.750048,6.6700583,9.13365,3.7600162,2.6217728,4.990491,6.7898483,4.3193474,2.1660843,2.3194668,4.086161
34.165787,17.626616,7.0310326,9.772548,3.949461,2.7759168,5.313952,7.1306047,4.5418806,2.2705069,2.4459028,4.315843
33.589005,17.353607,6.9186068,9.573563,3.890458,2.7279084,5.2132096,7.0244756,4.4725723,2.2379842,2.4065242,4.2443085
37.97411,18.69209,7.27518,11.141245,4.1100483,3.6624594,5.491018,7.1141853,4.5428996,1.8059149,2.6110418,3.8119965
33.70894,17.410376,6.941984,9.614939,3.9027271,2.7378912,5.2341576,7.046544,4.486984,2.2447467,2.4147124,4.259183
34.044296,17.56911,7.007352,9.730635,3.9370332,2.7658048,5.2927322,7.1082506,4.5272818,2.2636564,2.4376085,4.3007755
33.49958,17.31128,6.9011755,9.542709,3.88131,2.7204647,5.19759,7.0080204,4.4618263,2.2329416,2.4004188,4.2332172
34.022438,17.558765,7.003091,9.723093,3.9347968,2.7639852,5.288914,7.104228,4.524655,2.2624238,2.436116,4.298064
34.380333,17.728168,7.0728517,9.846565,3.9714084,2.7937746,5.351425,7.170082,4.5676613,2.2826042,2.4605505,4.342452
33.760662,17.434856,6.9520655,9.632782,3.908018,2.742196,5.2431917,7.056061,4.493199,2.2476633,2.4182436,4.265598
34.500523,17.785057,7.096279,9.88803,3.9837036,2.8037786,5.3724184,7.192198,4.5821037,2.2893813,2.4687564,4.357359
34.93136,17.988987,7.180258,10.036666,4.0277767,2.8396394,5.44767,7.2714725,4.633875,2.3136744,2.498171,4.410793
33.623375,17.369875,6.9253054,9.585419,3.8939738,2.7307692,5.2192125,7.0308,4.4767017,2.239922,2.4088707,4.248571
34.76948,17.912365,7.148705,9.98082,4.0112176,2.8261657,5.4193954,7.241687,4.614423,2.3045468,2.4871192,4.390716
32.890537,17.022999,6.7824607,9.332594,3.819007,2.6697712,5.0912123,6.895955,4.3886414,2.1986,2.3588371,4.157681
34.030777,17.56271,7.004716,9.725969,3.9356499,2.764679,5.2903705,7.1057625,4.5256567,2.262894,2.436685,4.2990985
35.442028,18.230703,7.2797976,10.212844,4.080017,2.8821452,5.536865,7.3654375,4.695239,2.3424692,2.5330362,4.4741287
31.852688,16.531752,6.580163,8.974543,3.7128377,2.5833855,4.909938,6.704988,4.263929,2.1400795,2.2879798,4.028962
34.58716,17.826065,7.113166,9.917917,3.992566,2.8109896,5.38755,7.208138,4.592514,2.2942662,2.4746711,4.368103
33.941605,17.520504,6.9873347,9.695206,3.926528,2.757257,5.2747955,7.0893545,4.5149417,2.257866,2.4305973,4.288039
34.15779,17.622831,7.029474,9.769789,3.9486432,2.7752512,5.3125553,7.129133,4.5409193,2.2700558,2.4453568,4.3148513
35.045723,18.043118,7.20255,10.07612,4.039476,2.8491583,5.4676447,7.2925158,4.6476173,2.320123,2.505979,4.4249763
34.358505,17.717834,7.068597,9.839034,3.9691753,2.7919576,5.347613,7.166065,4.565038,2.2813733,2.4590602,4.3397446
33.24051,17.188652,6.8506775,9.453333,3.8548079,2.6989012,5.15234,6.960351,4.4306955,2.2183337,2.382731,4.201086
34.44852,17.760445,7.0861435,9.87009,3.978384,2.7994504,5.3633356,7.1826286,4.5758553,2.2864492,2.4652061,4.350909
32.870262,17.013401,6.778508,9.325599,3.8169324,2.6680832,5.087671,6.8922243,4.3862047,2.1974568,2.3574529,4.155166
34.92256,17.984823,7.178543,10.03363,4.026877,2.8389072,5.4461336,7.2698536,4.6328177,2.3131785,2.4975705,4.409702
34.48835,17.779297,7.093907,9.883831,3.9824586,2.8027656,5.3702927,7.1899576,4.5806413,2.2886949,2.4679255,4.3558493
34.507206,17.788221,7.097582,9.890335,3.9843874,2.804335,5.3735857,7.193427,4.5829067,2.2897582,2.4692128,4.3581877
34.738342,17.897625,7.1426353,9.970076,4.008032,2.8235736,5.4139566,7.235957,4.610681,2.302791,2.4849932,4.386854
34.028065,17.561428,7.0041876,9.725035,3.9353724,2.7644534,5.289897,7.1052637,4.525331,2.262741,2.4365,4.2987623
36.05167,18.519268,7.398629,10.423166,4.1423817,2.932889,5.6433477,7.4776134,4.768496,2.376845,2.5746584,4.549739
34.64048,17.851303,7.1235595,9.936314,3.9980206,2.8154278,5.3968635,7.2179494,4.5989213,2.2972727,2.4783115,4.3747168
34.69893,17.87897,7.1349525,9.956478,4.0039997,2.820293,5.407072,7.2287045,4.6059446,2.3005686,2.4823022,4.3819656
34.511185,17.790104,7.098357,9.891707,3.9847941,2.804666,5.37428,7.1941586,4.5833845,2.2899823,2.4694843,4.3586807
34.40083,17.73787,7.076847,9.853636,3.9735053,2.7954807,5.3550053,7.1738534,4.570124,2.2837598,2.4619498,4.344994
34.229645,17.656843,7.04348,9.794579,3.9559937,2.781232,5.3251057,7.142355,4.549554,2.2741075,2.4502625,4.3237634
34.839725,17.945614,7.1623964,10.005053,4.018403,2.8320122,5.4316645,7.254612,4.622864,2.3085077,2.4919147,4.399428
33.98426,17.540693,6.9956493,9.709922,3.9308913,2.7608073,5.2822456,7.0972033,4.520067,2.260271,2.4335093,4.2933292
36.01165,18.500324,7.390829,10.409361,4.1382875,2.9295578,5.6363573,7.4702497,4.763687,2.3745883,2.5719264,4.5447755
34.488308,17.779276,7.093899,9.883816,3.9824543,2.802762,5.370285,7.18995,4.580636,2.2886925,2.4679224,4.3558435
32.34381,16.764215,6.675893,9.143976,3.7630782,2.6242642,4.995719,6.795356,4.322944,2.1677723,2.3215103,4.0898733
34.161766,17.624714,7.0302486,9.77116,3.94905,2.7755823,5.3132496,7.129865,4.541397,2.27028,2.4456282,4.3153443
35.92633,18.459938,7.374198,10.379925,4.1295595,2.9224563,5.621455,7.45455,4.7534347,2.3697772,2.566101,4.5341935
33.68022,17.396782,6.936386,9.60503,3.899789,2.7355006,5.229141,7.0412593,4.483533,2.2431273,2.4127517,4.255621
34.50478,17.787073,7.097109,9.889499,3.984139,2.804133,5.373162,7.192981,4.5826154,2.2896214,2.469047,4.3578863
33.01561,17.0822,6.806839,9.375742,3.831801,2.6801813,5.1130576,6.918968,4.4036703,2.2056522,2.3673763,4.1731925
35.50289,18.25951,7.291661,10.233841,4.0862427,2.8872108,5.5474954,7.3766356,4.7025523,2.345901,2.5371914,4.4816766
32.465176,16.821661,6.6995487,9.185846,3.7754934,2.6343658,5.016917,6.817687,4.3375278,2.1746154,2.3297963,4.1049256
32.891113,17.02327,6.7825727,9.332792,3.8190656,2.6698189,5.0913124,6.896061,4.38871,2.1986325,2.3588762,4.157752
34.379078,17.727573,7.0726075,9.846132,3.97128,2.7936702,5.351207,7.1698513,4.5675106,2.2825334,2.460465,4.3422966
33.14968,17.14566,6.8329725,9.421997,3.8455162,2.691341,5.1364756,6.9436383,4.4197807,2.2132123,2.3765297,4.1898212
33.404976,17.266499,6.882735,9.510072,3.871632,2.7125902,5.1810656,6.990613,4.450458,2.2276073,2.3939595,4.2214837
32.833347,16.99593,6.771313,9.312864,3.8131566,2.665011,5.0812235,6.8854322,4.381769,2.1953754,2.3549328,4.150588
35.03248,18.03685,7.199968,10.07155,4.038121,2.848056,5.465331,7.290078,4.6460257,2.3193762,2.5050747,4.423334
33.541397,17.331072,6.9093266,9.557137,3.8855877,2.7239456,5.204894,7.0157156,4.466851,2.2352996,2.4032736,4.2384033
34.881996,17.965622,7.170637,10.019637,4.0227275,2.835531,5.4390483,7.26239,4.6279435,2.3108914,2.494801,4.4046707
35.28972,18.158611,7.2501097,10.160297,4.064436,2.8694677,5.5102625,7.337412,4.676937,2.3338811,2.5226374,4.4552383
34.484188,17.777327,7.0930953,9.882395,3.9820328,2.8024192,5.369565,7.189192,4.580141,2.2884603,2.467641,4.3553324
35.222816,18.126942,7.237069,10.137217,4.0575924,2.8638988,5.4985766,7.3251014,4.6688976,2.3301086,2.5180697,4.4469404
33.833817,17.469484,6.966325,9.65802,3.9155016,2.7482853,5.255969,7.0695214,4.5019894,2.2517881,2.4232383,4.2746706
33.785313,17.446526,6.95687,9.641287,3.9105396,2.744248,5.247497,7.0605965,4.496161,2.2490532,2.4199266,4.268655
34.40432,17.739523,7.077528,9.854841,3.9738626,2.7957714,5.3556156,7.1744957,4.570544,2.2839568,2.4621885,4.3454275
34.010223,17.552982,7.00071,9.71888,3.9335475,2.7629685,5.286781,7.1019807,4.523187,2.261735,2.435282,4.2965493
33.499992,17.311474,6.9012556,9.542852,3.881352,2.720499,5.1976614,7.0080967,4.4618754,2.232965,2.4004467,4.233268
34.11628,17.603182,7.0213823,9.755468,3.9443965,2.771796,5.3053045,7.1214952,4.535931,2.2677152,2.4425228,4.309703
34.23676,17.66021,7.0448666,9.797033,3.9567213,2.781824,5.3263483,7.1436644,4.550409,2.2745085,2.4507484,4.3246455
32.03403,16.617586,6.61551,9.037105,3.7313886,2.5984795,4.9416122,6.7383556,4.28572,2.1503048,2.3003607,4.051453
32.683567,16.925034,6.742118,9.26119,3.7978342,2.6525435,5.0550623,6.857872,4.3637705,2.1869297,2.3447065,4.1320114
34.319748,17.69949,7.0610423,9.825663,3.9652107,2.7887316,5.340843,7.1589336,4.560381,2.279188,2.4564142,4.334938
32.966427,17.05892,6.797253,9.358776,3.8267703,2.6760879,5.104468,6.9099193,4.3977604,2.2028794,2.3640184,4.1670933
33.552307,17.336237,6.9114532,9.560902,3.886704,2.724854,5.2068,7.017723,4.4681625,2.235915,2.4040186,4.2397566
33.94287,17.521103,6.987582,9.695644,3.9266577,2.7573624,5.2750173,7.089588,4.5150943,2.2579374,2.4306836,4.2881966
34.185486,17.63594,7.0348725,9.779345,3.9514766,2.7775564,5.3173933,7.1342297,4.5442476,2.2716177,2.447248,4.3182864
33.230774,17.184044,6.8487797,9.449974,3.853812,2.6980908,5.1506395,6.95856,4.4295254,2.217785,2.3820662,4.1998787
